violation_id,user_id,phone,notification_id,event_type,channel,dnd_category,message_classification,detected_at,root_cause,provider,resolved,resolution
VIO-00014,user-4890,+919095758349,ntf-00014-vio,SIPX-004,sms,BANKING_INSURANCE_FINANCIAL_PRODUCTS,PROMOTIONAL,2026-02-03T03:55:00Z,RACE_CONDITION,msg91,false,CLASSIFICATION_FIXED
VIO-00015,user-10,+919090388981,ntf-00015-vio,MKTX-004,sms,BANKING_INSURANCE_FINANCIAL_PRODUCTS,PROMOTIONAL,2026-02-08T16:58:00Z,MISSING_SCRUB,msg91,true,CACHE_TTL_REDUCED
VIO-00016,user-3947,+919086149359,ntf-00016-vio,MKTX-001,sms,BANKING_INSURANCE_FINANCIAL_PRODUCTS,PROMOTIONAL,2026-01-09T07:03:00Z,STALE_DND_CACHE,twilio,true,CLASSIFICATION_FIXED
VIO-00017,user-9008,+919032162965,ntf-00017-vio,MKTX-004,sms,BANKING_INSURANCE_FINANCIAL_PRODUCTS,PROMOTIONAL,2025-12-17T21:30:00Z,MISSING_SCRUB,msg91,true,CACHE_TTL_REDUCED
VIO-00018,user-6119,+919068800797,ntf-00018-vio,SIPX-004,sms,BANKING_INSURANCE_FINANCIAL_PRODUCTS,PROMOTIONAL,2026-01-21T21:41:00Z,MISSING_SCRUB,msg91,true,CLASSIFICATION_FIXED
VIO-00019,user-9639,+919084346088,ntf-00019-vio,MKTX-003,sms,BANKING_INSURANCE_FINANCIAL_PRODUCTS,PROMOTIONAL,2025-12-09T10:01:00Z,RACE_CONDITION,msg91,true,DND_CHECK_MOVED_TO_DISPATCH
VIO-00020,user-515,+919054349361,ntf-00020-vio,MKTX-001,sms,BANKING_INSURANCE_FINANCIAL_PRODUCTS,PROMOTIONAL,2025-12-30T02:57:00Z,RACE_CONDITION,twilio,false,CLASSIFICATION_FIXED
VIO-00021,user-9356,+919087337818,ntf-00021-vio,MKTX-005,sms,BANKING_INSURANCE_FINANCIAL_PRODUCTS,PROMOTIONAL,2026-02-08T04:46:00Z,RACE_CONDITION,twilio,false,CLASSIFICATION_FIXED
VIO-00022,user-7063,+919057553014,ntf-00022-vio,MKTX-005,sms,BANKING_INSURANCE_FINANCIAL_PRODUCTS,PROMOTIONAL,2025-12-13T03:42:00Z,MISSING_SCRUB,twilio,true,DND_CHECK_MOVED_TO_DISPATCH
VIO-00023,user-5560,+919024665841,ntf-00023-vio,MKTX-003,sms,BANKING_INSURANCE_FINANCIAL_PRODUCTS,PROMOTIONAL,2025-12-08T12:46:00Z,RACE_CONDITION,msg91,false,CLASSIFICATION_FIXED
VIO-00024,user-7580,+919043528453,ntf-00024-vio,MKTX-001,sms,BANKING_INSURANCE_FINANCIAL_PRODUCTS,PROMOTIONAL,2026-01-24T05:17:00Z,MISSING_SCRUB,msg91,true,DND_CHECK_MOVED_TO_DISPATCH
VIO-00025,user-6659,+919075181648,ntf-00025-vio,MKTX-005,sms,BANKING_INSURANCE_FINANCIAL_PRODUCTS,PROMOTIONAL,2025-12-12T07:10:00Z,RACE_CONDITION,twilio,true,CLASSIFICATION_FIXED
VIO-00026,user-4346,+919071070189,ntf-00026-vio,MKTX-004,sms,BANKING_INSURANCE_FINANCIAL_PRODUCTS,PROMOTIONAL,2026-01-18T00:24:00Z,MISSING_SCRUB,twilio,true,CLASSIFICATION_FIXED
VIO-00027,user-9490,+919082772208,ntf-00027-vio,MKTX-001,sms,BANKING_INSURANCE_FINANCIAL_PRODUCTS,PROMOTIONAL,2026-01-07T06:03:00Z,WRONG_CLASSIFICATION,msg91,true,
VIO-00028,user-932,+919078159587,ntf-00028-vio,MKTX-001,sms,BANKING_INSURANCE_FINANCIAL_PRODUCTS,PROMOTIONAL,2026-02-03T16:10:00Z,RACE_CONDITION,msg91,true,CLASSIFICATION_FIXED
VIO-00029,user-9334,+919043046464,ntf-00029-vio,SIPX-004,sms,BANKING_INSURANCE_FINANCIAL_PRODUCTS,PROMOTIONAL,2026-01-21T03:56:00Z,STALE_DND_CACHE,msg91,false,CACHE_TTL_REDUCED
VIO-00030,user-5148,+919042035886,ntf-00030-vio,MKTX-004,sms,BANKING_INSURANCE_FINANCIAL_PRODUCTS,PROMOTIONAL,2026-01-03T06:42:00Z,MISSING_SCRUB,msg91,false,
VIO-00031,user-7509,+919093370583,ntf-00031-vio,SIPX-004,sms,BANKING_INSURANCE_FINANCIAL_PRODUCTS,PROMOTIONAL,2026-01-10T02:00:00Z,STALE_DND_CACHE,msg91,true,CACHE_TTL_REDUCED
VIO-00032,user-1128,+919042787299,ntf-00032-vio,MKTX-004,sms,BANKING_INSURANCE_FINANCIAL_PRODUCTS,PROMOTIONAL,2025-12-17T11:56:00Z,WRONG_CLASSIFICATION,msg91,false,CACHE_TTL_REDUCED
VIO-00033,user-129,+919099639081,ntf-00033-vio,SIPX-004,sms,BANKING_INSURANCE_FINANCIAL_PRODUCTS,PROMOTIONAL,2026-02-17T20:33:00Z,WRONG_CLASSIFICATION,msg91,true,CACHE_TTL_REDUCED
VIO-00034,user-9065,+919030863865,ntf-00034-vio,MKTX-004,sms,BANKING_INSURANCE_FINANCIAL_PRODUCTS,PROMOTIONAL,2025-12-15T03:47:00Z,WRONG_CLASSIFICATION,msg91,false,CLASSIFICATION_FIXED
VIO-00035,user-4326,+919077834855,ntf-00035-vio,MKTX-005,sms,BANKING_INSURANCE_FINANCIAL_PRODUCTS,PROMOTIONAL,2026-02-26T20:54:00Z,WRONG_CLASSIFICATION,msg91,true,
VIO-00036,user-5465,+919027558317,ntf-00036-vio,MKTX-004,sms,BANKING_INSURANCE_FINANCIAL_PRODUCTS,PROMOTIONAL,2026-01-05T01:00:00Z,RACE_CONDITION,twilio,false,DND_CHECK_MOVED_TO_DISPATCH
VIO-00037,user-2443,+919083227889,ntf-00037-vio,MKTX-001,sms,BANKING_INSURANCE_FINANCIAL_PRODUCTS,PROMOTIONAL,2025-12-15T02:56:00Z,WRONG_CLASSIFICATION,msg91,false,CLASSIFICATION_FIXED
VIO-00038,user-654,+919058024342,ntf-00038-vio,MKTX-003,sms,BANKING_INSURANCE_FINANCIAL_PRODUCTS,PROMOTIONAL,2025-12-06T09:23:00Z,RACE_CONDITION,msg91,false,
VIO-00039,user-3879,+919031810617,ntf-00039-vio,MKTX-003,sms,BANKING_INSURANCE_FINANCIAL_PRODUCTS,PROMOTIONAL,2026-02-18T23:09:00Z,MISSING_SCRUB,msg91,true,CACHE_TTL_REDUCED
VIO-00040,user-4066,+919045810056,ntf-00040-vio,MKTX-003,sms,BANKING_INSURANCE_FINANCIAL_PRODUCTS,PROMOTIONAL,2026-01-22T21:55:00Z,STALE_DND_CACHE,twilio,true,
VIO-00041,user-7542,+919056930359,ntf-00041-vio,MKTX-004,sms,BANKING_INSURANCE_FINANCIAL_PRODUCTS,PROMOTIONAL,2025-12-29T06:52:00Z,RACE_CONDITION,msg91,true,CLASSIFICATION_FIXED
VIO-00042,user-1138,+919047463522,ntf-00042-vio,MKTX-004,sms,BANKING_INSURANCE_FINANCIAL_PRODUCTS,PROMOTIONAL,2026-01-21T10:17:00Z,MISSING_SCRUB,twilio,true,DND_CHECK_MOVED_TO_DISPATCH
VIO-00043,user-4350,+919015134794,ntf-00043-vio,MKTX-001,sms,BANKING_INSURANCE_FINANCIAL_PRODUCTS,PROMOTIONAL,2026-01-03T05:37:00Z,MISSING_SCRUB,twilio,false,
VIO-00044,user-6312,+919087388337,ntf-00044-vio,MKTX-003,sms,BANKING_INSURANCE_FINANCIAL_PRODUCTS,PROMOTIONAL,2026-02-16T16:07:00Z,WRONG_CLASSIFICATION,msg91,false,DND_CHECK_MOVED_TO_DISPATCH
VIO-00045,user-3229,+919058884978,ntf-00045-vio,MKTX-005,sms,BANKING_INSURANCE_FINANCIAL_PRODUCTS,PROMOTIONAL,2026-02-05T17:43:00Z,STALE_DND_CACHE,twilio,false,DND_CHECK_MOVED_TO_DISPATCH
VIO-00046,user-6692,+919053779528,ntf-00046-vio,MKTX-005,sms,BANKING_INSURANCE_FINANCIAL_PRODUCTS,PROMOTIONAL,2026-01-08T16:19:00Z,WRONG_CLASSIFICATION,msg91,true,
VIO-00047,user-2852,+919092613013,ntf-00047-vio,SIPX-004,sms,BANKING_INSURANCE_FINANCIAL_PRODUCTS,PROMOTIONAL,2026-02-24T12:43:00Z,WRONG_CLASSIFICATION,twilio,true,CACHE_TTL_REDUCED
VIO-00048,user-9503,+919091424737,ntf-00048-vio,MKTX-004,sms,BANKING_INSURANCE_FINANCIAL_PRODUCTS,PROMOTIONAL,2026-01-06T06:27:00Z,MISSING_SCRUB,twilio,false,CLASSIFICATION_FIXED
VIO-00049,user-2781,+919098429450,ntf-00049-vio,MKTX-001,sms,BANKING_INSURANCE_FINANCIAL_PRODUCTS,PROMOTIONAL,2026-02-04T15:50:00Z,WRONG_CLASSIFICATION,twilio,true,CLASSIFICATION_FIXED
VIO-00050,user-3263,+919029777514,ntf-00050-vio,MKTX-001,sms,BANKING_INSURANCE_FINANCIAL_PRODUCTS,PROMOTIONAL,2026-02-25T09:14:00Z,STALE_DND_CACHE,msg91,false,DND_CHECK_MOVED_TO_DISPATCH
VIO-00051,user-9432,+919036096655,ntf-00051-vio,MKTX-005,sms,BANKING_INSURANCE_FINANCIAL_PRODUCTS,PROMOTIONAL,2026-01-28T13:56:00Z,MISSING_SCRUB,twilio,true,CLASSIFICATION_FIXED
VIO-00052,user-1747,+919067062156,ntf-00052-vio,MKTX-003,sms,BANKING_INSURANCE_FINANCIAL_PRODUCTS,PROMOTIONAL,2026-02-22T22:00:00Z,RACE_CONDITION,twilio,true,CLASSIFICATION_FIXED
VIO-00053,user-7613,+919099600766,ntf-00053-vio,SIPX-004,sms,BANKING_INSURANCE_FINANCIAL_PRODUCTS,PROMOTIONAL,2025-12-16T14:08:00Z,WRONG_CLASSIFICATION,twilio,false,
VIO-00054,user-7778,+919070407340,ntf-00054-vio,MKTX-004,sms,BANKING_INSURANCE_FINANCIAL_PRODUCTS,PROMOTIONAL,2025-12-21T23:55:00Z,RACE_CONDITION,twilio,false,CLASSIFICATION_FIXED
VIO-00055,user-4682,+919041473195,ntf-00055-vio,MKTX-004,sms,BANKING_INSURANCE_FINANCIAL_PRODUCTS,PROMOTIONAL,2026-01-05T14:04:00Z,WRONG_CLASSIFICATION,twilio,true,CLASSIFICATION_FIXED
VIO-00056,user-2504,+919038716269,ntf-00056-vio,MKTX-001,sms,BANKING_INSURANCE_FINANCIAL_PRODUCTS,PROMOTIONAL,2025-12-20T07:24:00Z,MISSING_SCRUB,twilio,false,
VIO-00057,user-6884,+919062274692,ntf-00057-vio,SIPX-004,sms,BANKING_INSURANCE_FINANCIAL_PRODUCTS,PROMOTIONAL,2026-01-23T01:13:00Z,STALE_DND_CACHE,twilio,false,DND_CHECK_MOVED_TO_DISPATCH
VIO-00058,user-6390,+919066240084,ntf-00058-vio,SIPX-004,sms,BANKING_INSURANCE_FINANCIAL_PRODUCTS,PROMOTIONAL,2026-01-15T09:48:00Z,RACE_CONDITION,twilio,true,CACHE_TTL_REDUCED
VIO-00059,user-6372,+919055114543,ntf-00059-vio,MKTX-005,sms,BANKING_INSURANCE_FINANCIAL_PRODUCTS,PROMOTIONAL,2026-01-25T15:01:00Z,RACE_CONDITION,twilio,true,DND_CHECK_MOVED_TO_DISPATCH
VIO-00060,user-445,+919021267237,ntf-00060-vio,MKTX-005,sms,BANKING_INSURANCE_FINANCIAL_PRODUCTS,PROMOTIONAL,2026-01-20T18:36:00Z,RACE_CONDITION,twilio,true,DND_CHECK_MOVED_TO_DISPATCH
VIO-00061,user-3468,+919071028710,ntf-00061-vio,MKTX-004,sms,BANKING_INSURANCE_FINANCIAL_PRODUCTS,PROMOTIONAL,2026-01-03T12:20:00Z,WRONG_CLASSIFICATION,twilio,false,
VIO-00062,user-318,+919082399599,ntf-00062-vio,MKTX-001,sms,BANKING_INSURANCE_FINANCIAL_PRODUCTS,PROMOTIONAL,2026-01-02T02:30:00Z,WRONG_CLASSIFICATION,msg91,true,DND_CHECK_MOVED_TO_DISPATCH
VIO-00063,user-334,+919093394260,ntf-00063-vio,MKTX-003,sms,BANKING_INSURANCE_FINANCIAL_PRODUCTS,PROMOTIONAL,2025-12-04T07:12:00Z,RACE_CONDITION,msg91,false,DND_CHECK_MOVED_TO_DISPATCH
VIO-00064,user-4199,+919059512272,ntf-00064-vio,MKTX-003,sms,BANKING_INSURANCE_FINANCIAL_PRODUCTS,PROMOTIONAL,2026-02-11T06:29:00Z,STALE_DND_CACHE,msg91,false,DND_CHECK_MOVED_TO_DISPATCH
VIO-00065,user-5112,+919087282128,ntf-00065-vio,MKTX-005,sms,BANKING_INSURANCE_FINANCIAL_PRODUCTS,PROMOTIONAL,2026-02-13T00:59:00Z,MISSING_SCRUB,msg91,true,CLASSIFICATION_FIXED
VIO-00066,user-4942,+919090585882,ntf-00066-vio,MKTX-001,sms,BANKING_INSURANCE_FINANCIAL_PRODUCTS,PROMOTIONAL,2025-12-14T22:49:00Z,STALE_DND_CACHE,twilio,false,CACHE_TTL_REDUCED
VIO-00067,user-5591,+919011698142,ntf-00067-vio,MKTX-005,sms,BANKING_INSURANCE_FINANCIAL_PRODUCTS,PROMOTIONAL,2025-12-09T16:41:00Z,MISSING_SCRUB,msg91,false,CACHE_TTL_REDUCED
VIO-00068,user-2507,+919068450095,ntf-00068-vio,MKTX-003,sms,BANKING_INSURANCE_FINANCIAL_PRODUCTS,PROMOTIONAL,2026-02-20T14:45:00Z,WRONG_CLASSIFICATION,twilio,false,
VIO-00069,user-4023,+919021631697,ntf-00069-vio,MKTX-004,sms,BANKING_INSURANCE_FINANCIAL_PRODUCTS,PROMOTIONAL,2026-02-14T08:20:00Z,MISSING_SCRUB,msg91,false,
VIO-00070,user-5326,+919034406132,ntf-00070-vio,MKTX-005,sms,BANKING_INSURANCE_FINANCIAL_PRODUCTS,PROMOTIONAL,2026-01-13T00:31:00Z,RACE_CONDITION,twilio,false,CACHE_TTL_REDUCED
VIO-00071,user-4527,+919084597009,ntf-00071-vio,MKTX-001,sms,BANKING_INSURANCE_FINANCIAL_PRODUCTS,PROMOTIONAL,2026-01-05T19:44:00Z,RACE_CONDITION,msg91,true,
VIO-00072,user-3938,+919073900135,ntf-00072-vio,MKTX-005,sms,BANKING_INSURANCE_FINANCIAL_PRODUCTS,PROMOTIONAL,2026-02-01T17:48:00Z,MISSING_SCRUB,msg91,true,CACHE_TTL_REDUCED
VIO-00073,user-3987,+919051098277,ntf-00073-vio,SIPX-004,sms,BANKING_INSURANCE_FINANCIAL_PRODUCTS,PROMOTIONAL,2025-12-29T12:44:00Z,WRONG_CLASSIFICATION,twilio,false,
VIO-00074,user-7435,+919046361787,ntf-00074-vio,MKTX-004,sms,BANKING_INSURANCE_FINANCIAL_PRODUCTS,PROMOTIONAL,2026-02-09T10:22:00Z,WRONG_CLASSIFICATION,msg91,true,CLASSIFICATION_FIXED
VIO-00075,user-8780,+919034850391,ntf-00075-vio,MKTX-003,sms,BANKING_INSURANCE_FINANCIAL_PRODUCTS,PROMOTIONAL,2026-01-10T03:47:00Z,RACE_CONDITION,twilio,false,CACHE_TTL_REDUCED
VIO-00076,user-3728,+919058436637,ntf-00076-vio,MKTX-003,sms,BANKING_INSURANCE_FINANCIAL_PRODUCTS,PROMOTIONAL,2025-12-13T06:18:00Z,WRONG_CLASSIFICATION,msg91,true,CACHE_TTL_REDUCED
VIO-00077,user-4787,+919026948946,ntf-00077-vio,MKTX-005,sms,BANKING_INSURANCE_FINANCIAL_PRODUCTS,PROMOTIONAL,2025-12-06T01:35:00Z,STALE_DND_CACHE,msg91,false,
VIO-00078,user-3021,+919016895666,ntf-00078-vio,MKTX-004,sms,BANKING_INSURANCE_FINANCIAL_PRODUCTS,PROMOTIONAL,2026-01-31T14:21:00Z,MISSING_SCRUB,msg91,true,
VIO-00079,user-879,+919030364454,ntf-00079-vio,MKTX-003,sms,BANKING_INSURANCE_FINANCIAL_PRODUCTS,PROMOTIONAL,2026-02-01T02:36:00Z,WRONG_CLASSIFICATION,msg91,true,DND_CHECK_MOVED_TO_DISPATCH
VIO-00080,user-9767,+919093002706,ntf-00080-vio,MKTX-003,sms,BANKING_INSURANCE_FINANCIAL_PRODUCTS,PROMOTIONAL,2026-02-10T13:38:00Z,MISSING_SCRUB,twilio,false,CACHE_TTL_REDUCED
VIO-00081,user-9317,+919093352876,ntf-00081-vio,MKTX-001,sms,BANKING_INSURANCE_FINANCIAL_PRODUCTS,PROMOTIONAL,2026-02-14T13:19:00Z,STALE_DND_CACHE,msg91,true,CACHE_TTL_REDUCED
VIO-00082,user-3930,+919033328859,ntf-00082-vio,SIPX-004,sms,BANKING_INSURANCE_FINANCIAL_PRODUCTS,PROMOTIONAL,2026-02-23T02:10:00Z,STALE_DND_CACHE,msg91,true,
VIO-00083,user-7700,+919049092160,ntf-00083-vio,MKTX-001,sms,BANKING_INSURANCE_FINANCIAL_PRODUCTS,PROMOTIONAL,2026-01-27T22:38:00Z,RACE_CONDITION,twilio,false,
VIO-00084,user-4335,+919093893865,ntf-00084-vio,SIPX-004,sms,BANKING_INSURANCE_FINANCIAL_PRODUCTS,PROMOTIONAL,2025-12-10T21:14:00Z,RACE_CONDITION,twilio,true,CLASSIFICATION_FIXED
VIO-00085,user-4353,+919029090631,ntf-00085-vio,MKTX-001,sms,BANKING_INSURANCE_FINANCIAL_PRODUCTS,PROMOTIONAL,2026-02-21T04:58:00Z,STALE_DND_CACHE,msg91,false,CACHE_TTL_REDUCED
VIO-00086,user-4983,+919064023778,ntf-00086-vio,MKTX-004,sms,BANKING_INSURANCE_FINANCIAL_PRODUCTS,PROMOTIONAL,2026-01-26T03:29:00Z,MISSING_SCRUB,twilio,true,DND_CHECK_MOVED_TO_DISPATCH
VIO-00087,user-9892,+919043603811,ntf-00087-vio,MKTX-001,sms,BANKING_INSURANCE_FINANCIAL_PRODUCTS,PROMOTIONAL,2026-01-25T23:20:00Z,STALE_DND_CACHE,msg91,true,CACHE_TTL_REDUCED
VIO-00088,user-2871,+919073149551,ntf-00088-vio,SIPX-004,sms,BANKING_INSURANCE_FINANCIAL_PRODUCTS,PROMOTIONAL,2026-02-12T01:48:00Z,MISSING_SCRUB,twilio,true,
VIO-00089,user-7701,+919056702542,ntf-00089-vio,MKTX-005,sms,BANKING_INSURANCE_FINANCIAL_PRODUCTS,PROMOTIONAL,2026-02-20T15:05:00Z,WRONG_CLASSIFICATION,twilio,true,CLASSIFICATION_FIXED
VIO-00090,user-8118,+919048683937,ntf-00090-vio,MKTX-005,sms,BANKING_INSURANCE_FINANCIAL_PRODUCTS,PROMOTIONAL,2026-01-12T13:44:00Z,STALE_DND_CACHE,twilio,true,CACHE_TTL_REDUCED
VIO-00091,user-6623,+919079067939,ntf-00091-vio,MKTX-001,sms,BANKING_INSURANCE_FINANCIAL_PRODUCTS,PROMOTIONAL,2026-01-02T10:07:00Z,MISSING_SCRUB,twilio,true,CLASSIFICATION_FIXED
VIO-00092,user-8168,+919093940940,ntf-00092-vio,MKTX-005,sms,BANKING_INSURANCE_FINANCIAL_PRODUCTS,PROMOTIONAL,2026-02-05T11:39:00Z,STALE_DND_CACHE,msg91,false,CLASSIFICATION_FIXED
VIO-00093,user-7942,+919026297533,ntf-00093-vio,MKTX-001,sms,BANKING_INSURANCE_FINANCIAL_PRODUCTS,PROMOTIONAL,2026-01-06T14:56:00Z,RACE_CONDITION,msg91,false,DND_CHECK_MOVED_TO_DISPATCH
VIO-00094,user-3682,+919025228493,ntf-00094-vio,MKTX-005,sms,BANKING_INSURANCE_FINANCIAL_PRODUCTS,PROMOTIONAL,2026-02-09T13:05:00Z,STALE_DND_CACHE,msg91,false,CACHE_TTL_REDUCED
VIO-00095,user-6808,+919074759996,ntf-00095-vio,MKTX-005,sms,BANKING_INSURANCE_FINANCIAL_PRODUCTS,PROMOTIONAL,2026-02-04T22:17:00Z,RACE_CONDITION,twilio,true,
VIO-00096,user-2237,+919019369750,ntf-00096-vio,MKTX-004,sms,BANKING_INSURANCE_FINANCIAL_PRODUCTS,PROMOTIONAL,2025-12-25T19:32:00Z,MISSING_SCRUB,twilio,false,DND_CHECK_MOVED_TO_DISPATCH
VIO-00097,user-9617,+919087835998,ntf-00097-vio,MKTX-005,sms,BANKING_INSURANCE_FINANCIAL_PRODUCTS,PROMOTIONAL,2026-01-06T23:19:00Z,RACE_CONDITION,twilio,false,CACHE_TTL_REDUCED
VIO-00098,user-8904,+919060628276,ntf-00098-vio,MKTX-005,sms,BANKING_INSURANCE_FINANCIAL_PRODUCTS,PROMOTIONAL,2026-01-12T17:48:00Z,WRONG_CLASSIFICATION,msg91,true,
VIO-00099,user-5214,+919073481797,ntf-00099-vio,MKTX-005,sms,BANKING_INSURANCE_FINANCIAL_PRODUCTS,PROMOTIONAL,2025-12-30T13:02:00Z,MISSING_SCRUB,msg91,false,DND_CHECK_MOVED_TO_DISPATCH
VIO-00100,user-5440,+919023470708,ntf-00100-vio,MKTX-005,sms,BANKING_INSURANCE_FINANCIAL_PRODUCTS,PROMOTIONAL,2025-12-17T16:37:00Z,STALE_DND_CACHE,twilio,true,CLASSIFICATION_FIXED
VIO-00101,user-1226,+919073013961,ntf-00101-vio,MKTX-004,sms,BANKING_INSURANCE_FINANCIAL_PRODUCTS,PROMOTIONAL,2026-01-22T20:09:00Z,WRONG_CLASSIFICATION,twilio,true,CACHE_TTL_REDUCED
VIO-00102,user-5189,+919094127561,ntf-00102-vio,MKTX-005,sms,BANKING_INSURANCE_FINANCIAL_PRODUCTS,PROMOTIONAL,2026-02-25T17:24:00Z,STALE_DND_CACHE,msg91,true,CACHE_TTL_REDUCED
VIO-00103,user-7111,+919023212812,ntf-00103-vio,MKTX-001,sms,BANKING_INSURANCE_FINANCIAL_PRODUCTS,PROMOTIONAL,2025-12-30T23:05:00Z,MISSING_SCRUB,msg91,false,DND_CHECK_MOVED_TO_DISPATCH
VIO-00104,user-920,+919049375156,ntf-00104-vio,MKTX-004,sms,BANKING_INSURANCE_FINANCIAL_PRODUCTS,PROMOTIONAL,2025-12-06T10:50:00Z,WRONG_CLASSIFICATION,twilio,true,CLASSIFICATION_FIXED
VIO-00105,user-2951,+919032814819,ntf-00105-vio,MKTX-003,sms,BANKING_INSURANCE_FINANCIAL_PRODUCTS,PROMOTIONAL,2026-02-06T13:36:00Z,STALE_DND_CACHE,twilio,true,
VIO-00106,user-7556,+919095618110,ntf-00106-vio,MKTX-004,sms,BANKING_INSURANCE_FINANCIAL_PRODUCTS,PROMOTIONAL,2026-02-13T04:14:00Z,MISSING_SCRUB,twilio,true,
VIO-00107,user-2589,+919019913576,ntf-00107-vio,MKTX-005,sms,BANKING_INSURANCE_FINANCIAL_PRODUCTS,PROMOTIONAL,2026-01-06T21:34:00Z,WRONG_CLASSIFICATION,twilio,false,CACHE_TTL_REDUCED
VIO-00108,user-6303,+919074855088,ntf-00108-vio,MKTX-001,sms,BANKING_INSURANCE_FINANCIAL_PRODUCTS,PROMOTIONAL,2026-01-28T09:12:00Z,RACE_CONDITION,twilio,false,CACHE_TTL_REDUCED
VIO-00109,user-6485,+919046840133,ntf-00109-vio,MKTX-001,sms,BANKING_INSURANCE_FINANCIAL_PRODUCTS,PROMOTIONAL,2026-02-28T09:01:00Z,STALE_DND_CACHE,twilio,false,CLASSIFICATION_FIXED
VIO-00110,user-3116,+919093334601,ntf-00110-vio,MKTX-004,sms,BANKING_INSURANCE_FINANCIAL_PRODUCTS,PROMOTIONAL,2026-02-16T11:14:00Z,RACE_CONDITION,msg91,true,CACHE_TTL_REDUCED
VIO-00111,user-5978,+919027637794,ntf-00111-vio,MKTX-001,sms,BANKING_INSURANCE_FINANCIAL_PRODUCTS,PROMOTIONAL,2026-01-26T01:37:00Z,WRONG_CLASSIFICATION,twilio,false,CLASSIFICATION_FIXED
VIO-00112,user-8838,+919059104566,ntf-00112-vio,SIPX-004,sms,BANKING_INSURANCE_FINANCIAL_PRODUCTS,PROMOTIONAL,2025-12-26T04:50:00Z,WRONG_CLASSIFICATION,msg91,false,
VIO-00113,user-5550,+919025457816,ntf-00113-vio,MKTX-005,sms,BANKING_INSURANCE_FINANCIAL_PRODUCTS,PROMOTIONAL,2026-01-07T23:55:00Z,STALE_DND_CACHE,msg91,true,
