user_id,name,phone,email,language,timezone,dnd_status,dnd_categories,account_type,risk_profile,notification_preferences,quiet_hours_start,quiet_hours_end,created_at
user-11,User 11,+919000000010,user11@test.in,ta,Asia/Kolkata,not_registered,,basic,conservative,"{""TXNX"": {""channels"": {""sms"": false, ""email"": true, ""push"": true, ""whatsapp"": true, ""in_app"": false}, ""digest_mode"": ""daily""}, ""RISK"": {""channels"": {""sms"": true, ""email"": true, ""push"": true, ""whatsapp"": true, ""in_app"": false}, ""digest_mode"": ""immediate""}, ""SIPX"": {""channels"": {""sms"": false, ""email"": true, ""push"": true, ""whatsapp"": true, ""in_app"": false}, ""digest_mode"": ""hourly""}, ""MKTX"": {""channels"": {""sms"": false, ""email"": false, ""push"": false, ""whatsapp"": true, ""in_app"": true}, ""digest_mode"": ""hourly""}, ""REGX"": {""channels"": {""sms"": true, ""email"": true, ""push"": true, ""whatsapp"": false, ""in_app"": false}, ""digest_mode"": ""immediate""}}",21:00,08:00,2025-02-26T00:00:00Z
user-12,User 12,+919000000011,user12@test.in,mr,Asia/Kolkata,registered,BANKING,basic,conservative,"{""TXNX"": {""channels"": {""sms"": false, ""email"": true, ""push"": true, ""whatsapp"": true, ""in_app"": true}, ""digest_mode"": ""daily""}, ""RISK"": {""channels"": {""sms"": true, ""email"": false, ""push"": true, ""whatsapp"": false, ""in_app"": true}, ""digest_mode"": ""hourly""}, ""SIPX"": {""channels"": {""sms"": false, ""email"": true, ""push"": true, ""whatsapp"": true, ""in_app"": true}, ""digest_mode"": ""immediate""}, ""MKTX"": {""channels"": {""sms"": false, ""email"": true, ""push"": true, ""whatsapp"": false, ""in_app"": false}, ""digest_mode"": ""hourly""}, ""REGX"": {""channels"": {""sms"": true, ""email"": true, ""push"": true, ""whatsapp"": true, ""in_app"": true}, ""digest_mode"": ""immediate""}}",21:00,08:00,2024-04-28T00:00:00Z
user-13,User 13,+919000000012,user13@test.in,hi,Asia/Kolkata,not_registered,,basic,aggressive,"{""TXNX"": {""channels"": {""sms"": true, ""email"": false, ""push"": true, ""whatsapp"": true, ""in_app"": false}, ""digest_mode"": ""daily""}, ""RISK"": {""channels"": {""sms"": true, ""email"": true, ""push"": true, ""whatsapp"": true, ""in_app"": true}, ""digest_mode"": ""hourly""}, ""SIPX"": {""channels"": {""sms"": true, ""email"": false, ""push"": false, ""whatsapp"": true, ""in_app"": true}, ""digest_mode"": ""daily""}, ""MKTX"": {""channels"": {""sms"": true, ""email"": true, ""push"": true, ""whatsapp"": false, ""in_app"": true}, ""digest_mode"": ""daily""}, ""REGX"": {""channels"": {""sms"": true, ""email"": true, ""push"": true, ""whatsapp"": false, ""in_app"": true}, ""digest_mode"": ""daily""}}",21:00,08:00,2024-11-12T00:00:00Z
user-14,User 14,+919000000013,user14@test.in,te,Asia/Kolkata,registered,"BANKING,FINANCIAL_PRODUCTS",basic,aggressive,"{""TXNX"": {""channels"": {""sms"": true, ""email"": true, ""push"": true, ""whatsapp"": false, ""in_app"": true}, ""digest_mode"": ""hourly""}, ""RISK"": {""channels"": {""sms"": true, ""email"": true, ""push"": true, ""whatsapp"": true, ""in_app"": true}, ""digest_mode"": ""immediate""}, ""SIPX"": {""channels"": {""sms"": true, ""email"": false, ""push"": true, ""whatsapp"": true, ""in_app"": true}, ""digest_mode"": ""hourly""}, ""MKTX"": {""channels"": {""sms"": true, ""email"": false, ""push"": true, ""whatsapp"": true, ""in_app"": true}, ""digest_mode"": ""immediate""}, ""REGX"": {""channels"": {""sms"": true, ""email"": false, ""push"": true, ""whatsapp"": true, ""in_app"": false}, ""digest_mode"": ""immediate""}}",21:00,08:00,2025-11-19T00:00:00Z
user-15,User 15,+919000000014,user15@test.in,ta,Asia/Kolkata,not_registered,,premium,conservative,"{""TXNX"": {""channels"": {""sms"": true, ""email"": true, ""push"": false, ""whatsapp"": false, ""in_app"": true}, ""digest_mode"": ""daily""}, ""RISK"": {""channels"": {""sms"": true, ""email"": false, ""push"": true, ""whatsapp"": true, ""in_app"": false}, ""digest_mode"": ""daily""}, ""SIPX"": {""channels"": {""sms"": true, ""email"": true, ""push"": false, ""whatsapp"": true, ""in_app"": true}, ""digest_mode"": ""immediate""}, ""MKTX"": {""channels"": {""sms"": true, ""email"": false, ""push"": true, ""whatsapp"": true, ""in_app"": true}, ""digest_mode"": ""daily""}, ""REGX"": {""channels"": {""sms"": false, ""email"": true, ""push"": true, ""whatsapp"": true, ""in_app"": true}, ""digest_mode"": ""daily""}}",21:00,08:00,2025-09-01T00:00:00Z
user-16,User 16,+919000000015,user16@test.in,ta,Asia/Kolkata,not_registered,,premium,conservative,"{""TXNX"": {""channels"": {""sms"": true, ""email"": true, ""push"": true, ""whatsapp"": true, ""in_app"": true}, ""digest_mode"": ""hourly""}, ""RISK"": {""channels"": {""sms"": true, ""email"": true, ""push"": true, ""whatsapp"": true, ""in_app"": true}, ""digest_mode"": ""hourly""}, ""SIPX"": {""channels"": {""sms"": true, ""email"": true, ""push"": false, ""whatsapp"": true, ""in_app"": true}, ""digest_mode"": ""immediate""}, ""MKTX"": {""channels"": {""sms"": false, ""email"": false, ""push"": false, ""whatsapp"": false, ""in_app"": true}, ""digest_mode"": ""daily""}, ""REGX"": {""channels"": {""sms"": false, ""email"": false, ""push"": true, ""whatsapp"": false, ""in_app"": false}, ""digest_mode"": ""hourly""}}",21:00,08:00,2025-02-21T00:00:00Z
user-17,User 17,+919000000016,user17@test.in,en,Asia/Kolkata,not_registered,,basic,conservative,"{""TXNX"": {""channels"": {""sms"": true, ""email"": true, ""push"": false, ""whatsapp"": true, ""in_app"": true}, ""digest_mode"": ""daily""}, ""RISK"": {""channels"": {""sms"": true, ""email"": false, ""push"": true, ""whatsapp"": true, ""in_app"": true}, ""digest_mode"": ""hourly""}, ""SIPX"": {""channels"": {""sms"": false, ""email"": true, ""push"": true, ""whatsapp"": true, ""in_app"": true}, ""digest_mode"": ""daily""}, ""MKTX"": {""channels"": {""sms"": true, ""email"": true, ""push"": false, ""whatsapp"": false, ""in_app"": true}, ""digest_mode"": ""immediate""}, ""REGX"": {""channels"": {""sms"": true, ""email"": true, ""push"": true, ""whatsapp"": true, ""in_app"": true}, ""digest_mode"": ""immediate""}}",21:00,08:00,2025-09-29T00:00:00Z
user-18,User 18,+919000000017,user18@test.in,hi,Asia/Kolkata,registered,INSURANCE,premium,aggressive,"{""TXNX"": {""channels"": {""sms"": false, ""email"": true, ""push"": true, ""whatsapp"": false, ""in_app"": true}, ""digest_mode"": ""immediate""}, ""RISK"": {""channels"": {""sms"": true, ""email"": false, ""push"": false, ""whatsapp"": true, ""in_app"": true}, ""digest_mode"": ""hourly""}, ""SIPX"": {""channels"": {""sms"": true, ""email"": true, ""push"": true, ""whatsapp"": true, ""in_app"": false}, ""digest_mode"": ""immediate""}, ""MKTX"": {""channels"": {""sms"": true, ""email"": true, ""push"": false, ""whatsapp"": true, ""in_app"": false}, ""digest_mode"": ""immediate""}, ""REGX"": {""channels"": {""sms"": true, ""email"": true, ""push"": true, ""whatsapp"": true, ""in_app"": false}, ""digest_mode"": ""immediate""}}",21:00,08:00,2025-09-28T00:00:00Z
user-19,User 19,+919000000018,user19@test.in,hi,Asia/Kolkata,not_registered,,HNI,moderate,"{""TXNX"": {""channels"": {""sms"": false, ""email"": false, ""push"": true, ""whatsapp"": true, ""in_app"": false}, ""digest_mode"": ""daily""}, ""RISK"": {""channels"": {""sms"": false, ""email"": true, ""push"": true, ""whatsapp"": true, ""in_app"": true}, ""digest_mode"": ""immediate""}, ""SIPX"": {""channels"": {""sms"": true, ""email"": false, ""push"": false, ""whatsapp"": true, ""in_app"": true}, ""digest_mode"": ""hourly""}, ""MKTX"": {""channels"": {""sms"": true, ""email"": true, ""push"": false, ""whatsapp"": true, ""in_app"": true}, ""digest_mode"": ""immediate""}, ""REGX"": {""channels"": {""sms"": true, ""email"": true, ""push"": true, ""whatsapp"": true, ""in_app"": true}, ""digest_mode"": ""daily""}}",21:00,08:00,2024-02-12T00:00:00Z
user-20,User 20,+919000000019,user20@test.in,mr,Asia/Kolkata,not_registered,,basic,conservative,"{""TXNX"": {""channels"": {""sms"": true, ""email"": true, ""push"": true, ""whatsapp"": true, ""in_app"": true}, ""digest_mode"": ""hourly""}, ""RISK"": {""channels"": {""sms"": true, ""email"": false, ""push"": true, ""whatsapp"": true, ""in_app"": true}, ""digest_mode"": ""daily""}, ""SIPX"": {""channels"": {""sms"": false, ""email"": false, ""push"": true, ""whatsapp"": true, ""in_app"": true}, ""digest_mode"": ""daily""}, ""MKTX"": {""channels"": {""sms"": true, ""email"": true, ""push"": true, ""whatsapp"": true, ""in_app"": true}, ""digest_mode"": ""immediate""}, ""REGX"": {""channels"": {""sms"": true, ""email"": false, ""push"": true, ""whatsapp"": false, ""in_app"": true}, ""digest_mode"": ""daily""}}",21:00,08:00,2025-11-15T00:00:00Z
user-21,User 21,+919000000020,user21@test.in,mr,Asia/Kolkata,registered,"BANKING,FINANCIAL_PRODUCTS",basic,moderate,"{""TXNX"": {""channels"": {""sms"": true, ""email"": true, ""push"": true, ""whatsapp"": true, ""in_app"": true}, ""digest_mode"": ""hourly""}, ""RISK"": {""channels"": {""sms"": true, ""email"": true, ""push"": true, ""whatsapp"": false, ""in_app"": false}, ""digest_mode"": ""immediate""}, ""SIPX"": {""channels"": {""sms"": false, ""email"": true, ""push"": true, ""whatsapp"": true, ""in_app"": true}, ""digest_mode"": ""daily""}, ""MKTX"": {""channels"": {""sms"": true, ""email"": true, ""push"": false, ""whatsapp"": false, ""in_app"": true}, ""digest_mode"": ""immediate""}, ""REGX"": {""channels"": {""sms"": true, ""email"": true, ""push"": true, ""whatsapp"": true, ""in_app"": true}, ""digest_mode"": ""daily""}}",21:00,08:00,2025-07-17T00:00:00Z
user-22,User 22,+919000000021,user22@test.in,hi,Asia/Kolkata,registered,FINANCIAL_PRODUCTS,HNI,moderate,"{""TXNX"": {""channels"": {""sms"": true, ""email"": true, ""push"": true, ""whatsapp"": false, ""in_app"": true}, ""digest_mode"": ""hourly""}, ""RISK"": {""channels"": {""sms"": false, ""email"": true, ""push"": true, ""whatsapp"": false, ""in_app"": false}, ""digest_mode"": ""hourly""}, ""SIPX"": {""channels"": {""sms"": false, ""email"": true, ""push"": true, ""whatsapp"": true, ""in_app"": true}, ""digest_mode"": ""immediate""}, ""MKTX"": {""channels"": {""sms"": false, ""email"": true, ""push"": true, ""whatsapp"": true, ""in_app"": false}, ""digest_mode"": ""immediate""}, ""REGX"": {""channels"": {""sms"": true, ""email"": true, ""push"": true, ""whatsapp"": false, ""in_app"": true}, ""digest_mode"": ""hourly""}}",21:00,08:00,2024-04-15T00:00:00Z
user-23,User 23,+919000000022,user23@test.in,en,Asia/Kolkata,not_registered,,basic,moderate,"{""TXNX"": {""channels"": {""sms"": true, ""email"": true, ""push"": true, ""whatsapp"": true, ""in_app"": false}, ""digest_mode"": ""immediate""}, ""RISK"": {""channels"": {""sms"": false, ""email"": true, ""push"": false, ""whatsapp"": false, ""in_app"": true}, ""digest_mode"": ""daily""}, ""SIPX"": {""channels"": {""sms"": true, ""email"": false, ""push"": false, ""whatsapp"": true, ""in_app"": true}, ""digest_mode"": ""immediate""}, ""MKTX"": {""channels"": {""sms"": false, ""email"": true, ""push"": true, ""whatsapp"": true, ""in_app"": false}, ""digest_mode"": ""daily""}, ""REGX"": {""channels"": {""sms"": true, ""email"": true, ""push"": false, ""whatsapp"": true, ""in_app"": true}, ""digest_mode"": ""daily""}}",21:00,08:00,2025-09-27T00:00:00Z
user-24,User 24,+919000000023,user24@test.in,ta,Asia/Kolkata,registered,BANKING,basic,conservative,"{""TXNX"": {""channels"": {""sms"": true, ""email"": true, ""push"": true, ""whatsapp"": false, ""in_app"": false}, ""digest_mode"": ""daily""}, ""RISK"": {""channels"": {""sms"": false, ""email"": false, ""push"": true, ""whatsapp"": false, ""in_app"": true}, ""digest_mode"": ""daily""}, ""SIPX"": {""channels"": {""sms"": true, ""email"": false, ""push"": false, ""whatsapp"": true, ""in_app"": true}, ""digest_mode"": ""hourly""}, ""MKTX"": {""channels"": {""sms"": false, ""email"": false, ""push"": false, ""whatsapp"": true, ""in_app"": true}, ""digest_mode"": ""immediate""}, ""REGX"": {""channels"": {""sms"": true, ""email"": true, ""push"": true, ""whatsapp"": true, ""in_app"": true}, ""digest_mode"": ""immediate""}}",21:00,08:00,2024-03-02T00:00:00Z
user-25,User 25,+919000000024,user25@test.in,te,Asia/Kolkata,not_registered,,HNI,conservative,"{""TXNX"": {""channels"": {""sms"": false, ""email"": true, ""push"": true, ""whatsapp"": true, ""in_app"": false}, ""digest_mode"": ""immediate""}, ""RISK"": {""channels"": {""sms"": true, ""email"": true, ""push"": true, ""whatsapp"": false, ""in_app"": true}, ""digest_mode"": ""hourly""}, ""SIPX"": {""channels"": {""sms"": false, ""email"": false, ""push"": true, ""whatsapp"": true, ""in_app"": false}, ""digest_mode"": ""immediate""}, ""MKTX"": {""channels"": {""sms"": false, ""email"": true, ""push"": true, ""whatsapp"": true, ""in_app"": false}, ""digest_mode"": ""daily""}, ""REGX"": {""channels"": {""sms"": true, ""email"": true, ""push"": true, ""whatsapp"": false, ""in_app"": true}, ""digest_mode"": ""hourly""}}",21:00,08:00,2024-10-11T00:00:00Z
user-26,User 26,+919000000025,user26@test.in,mr,Asia/Kolkata,not_registered,,HNI,aggressive,"{""TXNX"": {""channels"": {""sms"": false, ""email"": true, ""push"": true, ""whatsapp"": true, ""in_app"": false}, ""digest_mode"": ""hourly""}, ""RISK"": {""channels"": {""sms"": true, ""email"": true, ""push"": false, ""whatsapp"": false, ""in_app"": true}, ""digest_mode"": ""hourly""}, ""SIPX"": {""channels"": {""sms"": false, ""email"": true, ""push"": true, ""whatsapp"": true, ""in_app"": true}, ""digest_mode"": ""hourly""}, ""MKTX"": {""channels"": {""sms"": false, ""email"": false, ""push"": true, ""whatsapp"": true, ""in_app"": true}, ""digest_mode"": ""immediate""}, ""REGX"": {""channels"": {""sms"": true, ""email"": true, ""push"": true, ""whatsapp"": false, ""in_app"": true}, ""digest_mode"": ""hourly""}}",21:00,08:00,2025-10-02T00:00:00Z
user-27,User 27,+919000000026,user27@test.in,hi,Asia/Kolkata,not_registered,,basic,conservative,"{""TXNX"": {""channels"": {""sms"": true, ""email"": false, ""push"": false, ""whatsapp"": false, ""in_app"": false}, ""digest_mode"": ""daily""}, ""RISK"": {""channels"": {""sms"": true, ""email"": false, ""push"": true, ""whatsapp"": true, ""in_app"": true}, ""digest_mode"": ""hourly""}, ""SIPX"": {""channels"": {""sms"": true, ""email"": true, ""push"": false, ""whatsapp"": true, ""in_app"": true}, ""digest_mode"": ""hourly""}, ""MKTX"": {""channels"": {""sms"": true, ""email"": true, ""push"": false, ""whatsapp"": true, ""in_app"": false}, ""digest_mode"": ""daily""}, ""REGX"": {""channels"": {""sms"": false, ""email"": true, ""push"": true, ""whatsapp"": false, ""in_app"": true}, ""digest_mode"": ""hourly""}}",21:00,08:00,2024-07-14T00:00:00Z
user-28,User 28,+919000000027,user28@test.in,hi,Asia/Kolkata,registered,INSURANCE,basic,conservative,"{""TXNX"": {""channels"": {""sms"": true, ""email"": true, ""push"": true, ""whatsapp"": false, ""in_app"": true}, ""digest_mode"": ""hourly""}, ""RISK"": {""channels"": {""sms"": true, ""email"": true, ""push"": false, ""whatsapp"": false, ""in_app"": true}, ""digest_mode"": ""daily""}, ""SIPX"": {""channels"": {""sms"": true, ""email"": true, ""push"": true, ""whatsapp"": true, ""in_app"": true}, ""digest_mode"": ""hourly""}, ""MKTX"": {""channels"": {""sms"": true, ""email"": true, ""push"": true, ""whatsapp"": true, ""in_app"": false}, ""digest_mode"": ""daily""}, ""REGX"": {""channels"": {""sms"": false, ""email"": true, ""push"": true, ""whatsapp"": true, ""in_app"": true}, ""digest_mode"": ""hourly""}}",21:00,08:00,2025-12-23T00:00:00Z
user-29,User 29,+919000000028,user29@test.in,te,Asia/Kolkata,not_registered,,HNI,aggressive,"{""TXNX"": {""channels"": {""sms"": true, ""email"": true, ""push"": true, ""whatsapp"": true, ""in_app"": true}, ""digest_mode"": ""immediate""}, ""RISK"": {""channels"": {""sms"": true, ""email"": false, ""push"": true, ""whatsapp"": true, ""in_app"": true}, ""digest_mode"": ""hourly""}, ""SIPX"": {""channels"": {""sms"": false, ""email"": true, ""push"": false, ""whatsapp"": false, ""in_app"": true}, ""digest_mode"": ""immediate""}, ""MKTX"": {""channels"": {""sms"": false, ""email"": true, ""push"": false, ""whatsapp"": true, ""in_app"": true}, ""digest_mode"": ""immediate""}, ""REGX"": {""channels"": {""sms"": true, ""email"": true, ""push"": true, ""whatsapp"": true, ""in_app"": true}, ""digest_mode"": ""daily""}}",21:00,08:00,2025-05-14T00:00:00Z
user-30,User 30,+919000000029,user30@test.in,mr,Asia/Kolkata,not_registered,,basic,aggressive,"{""TXNX"": {""channels"": {""sms"": true, ""email"": false, ""push"": false, ""whatsapp"": true, ""in_app"": true}, ""digest_mode"": ""immediate""}, ""RISK"": {""channels"": {""sms"": true, ""email"": true, ""push"": false, ""whatsapp"": true, ""in_app"": true}, ""digest_mode"": ""hourly""}, ""SIPX"": {""channels"": {""sms"": false, ""email"": false, ""push"": false, ""whatsapp"": true, ""in_app"": false}, ""digest_mode"": ""hourly""}, ""MKTX"": {""channels"": {""sms"": true, ""email"": false, ""push"": true, ""whatsapp"": true, ""in_app"": true}, ""digest_mode"": ""immediate""}, ""REGX"": {""channels"": {""sms"": false, ""email"": true, ""push"": true, ""whatsapp"": true, ""in_app"": true}, ""digest_mode"": ""daily""}}",21:00,08:00,2024-05-26T00:00:00Z
user-31,User 31,+919000000030,user31@test.in,mr,Asia/Kolkata,not_registered,,basic,conservative,"{""TXNX"": {""channels"": {""sms"": false, ""email"": true, ""push"": true, ""whatsapp"": true, ""in_app"": true}, ""digest_mode"": ""hourly""}, ""RISK"": {""channels"": {""sms"": true, ""email"": true, ""push"": false, ""whatsapp"": true, ""in_app"": true}, ""digest_mode"": ""daily""}, ""SIPX"": {""channels"": {""sms"": false, ""email"": true, ""push"": true, ""whatsapp"": true, ""in_app"": true}, ""digest_mode"": ""hourly""}, ""MKTX"": {""channels"": {""sms"": true, ""email"": false, ""push"": true, ""whatsapp"": true, ""in_app"": false}, ""digest_mode"": ""daily""}, ""REGX"": {""channels"": {""sms"": false, ""email"": true, ""push"": true, ""whatsapp"": false, ""in_app"": true}, ""digest_mode"": ""daily""}}",21:00,08:00,2024-02-20T00:00:00Z
